"CABANG_MAPPING","total_noa_aktif","total_os_aktif","noa_lancar","noa_dpk","noa_npl","os_lancar","os_dpk","os_npl","noa_npl_wo","os_npl_wo"
CB CIREBON,160,836302501.60,154,6,0,771911621.79,64390879.81,0.00,0,0.00
CB YOGYAKARTA,242,1754568578.85,228,14,0,1598288347.36,156280231.49,0.00,0,0.00
CB SEMARANG,679,4135927071.18,644,34,1,3901924833.45,229386934.46,4615303.27,0,0.00
CB LAMPUNG,644,4642945106.24,590,52,2,4281006857.03,333438249.21,28500000.00,0,0.00
CB DENPASAR,4040,45971443347.99,3773,260,7,43418748038.83,2492670659.95,60024649.21,0,0.00
CB SIDOARJO,254,1220134591.99,246,7,1,1201230425.65,16186136.34,2718030.00,0,0.00
CB AIR MOLEK,627,5032782015.65,617,10,0,4950245030.50,82536985.15,0.00,0,0.00
CB SOLO,230,1058431188.95,216,13,1,948652800.52,84778388.43,25000000.00,0,0.00
CB UJUNG BATU,758,5372892423.48,717,40,1,5064844340.07,296794075.41,11254008.00,0,0.00
CB BEKASI,438,2335357701.77,425,12,1,2258259387.72,76233990.05,864324.00,0,0.00
CB MEDAN,3269,24671387033.89,3130,125,14,23698335031.29,866773361.47,106278641.13,0,0.00
CB PEKANBARU,1248,9092236661.50,1168,70,10,8495219637.73,541434012.83,55583010.94,0,0.00
CB MAKASSAR,14927,205322613616.96,13974,878,75,189637313385.16,14247702731.49,1437597500.31,0,0.00
CB WARUNG JATI,1982,12528946275.78,1867,109,6,11665086953.37,792835611.83,71023710.58,0,0.00
CB TEMANGGUNG,238,1864094959.17,219,18,1,1703763413.81,159604184.46,727360.90,0,0.00
CB SURABAYA,230,1518719615.69,221,9,0,1455866379.27,62853236.42,0.00,0,0.00
CB MENARA BRILIAN,98896,419551015829.78,58770,6790,33336,351027377332.76,40772198588.89,27751439908.13,29891,255212802391.36
CB MALANG,467,3343951661.02,450,16,1,3210540566.62,129551510.79,3859583.61,0,0.00
CB LAMONGAN,443,2865698792.48,427,15,1,2709816115.96,132966009.85,22916666.67,0,0.00
CB LUBUK DALAM,1035,8594515838.55,1010,24,1,8425901878.07,144404051.13,24209909.35,0,0.00
CB PALEMBANG,2266,18702842578.99,2155,109,2,17877367517.17,812822706.82,12652355.00,0,0.00
CB BANDUNG,583,3039844683.46,567,15,1,2962884413.09,68321065.37,8639205.00,0,0.00
